transaction UUID,Driver UUID,Trip UUID,Description,vs reporting,Paid to you,Paid to you : Your earnings,Paid to you : Trip balance : Payouts : Cash collected,Paid to you : Your earnings : Fare,Paid to you : Your earnings : Taxes,Paid to you:Your earnings:Fare:Fare,Paid to you:Trip balance:Refunds:Toll,Paid to you:Your earnings:Tip,Paid to you:Your earnings:Taxes:Income tax withholding,Paid to you:Your earnings:Fare:Booking fee,Paid to you:Your earnings:Fare:UberX Priority,Paid to you:Your earnings:Fare:Max Fare Adjustment,Paid to you:Your earnings:Fare:Wait Time at Pick-up,Paid to you:Your earnings:Fare:Package Fare,Paid to you:Your earnings:Fare:Additional time charges,Paid to you:Your earnings:Fare:Adjustment,Paid to you:Your earnings:Fare:Surge,Paid to you:Your earnings:Fare:Cancellation,Paid to you:Your earnings:Fare:Additional cancellation fee for extended wait time,Paid to you:Your earnings:Fare:Reservation Fee
5605e092-1935-3fd5-b866-7c04d69b83ba,100b888d-c025-49b3-814d-eb21f147c87c,18b4109a-7c54-493a-a34d-f4bd9d90c903,trip completed order,2024-08-01 15:57:50.582 +0530 IST,180.99,180.99,0,180.99,0,180.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43fae3fe-61d7-3df5-8a0b-ac57526a9b68,100b888d-c025-49b3-814d-eb21f147c87c,18b4109a-7c54-493a-a34d-f4bd9d90c903,trip fare adjust order,2024-08-01 15:57:52.498 +0530 IST,-1.81,-1.81,0,0,0,0,0,0,-1.81,0,0,0,0,0,0,0,0,0,0,0
f9e6728c-608e-3f24-81d6-1eab0fac5060,100b888d-c025-49b3-814d-eb21f147c87c,31d425de-d5c0-47f9-910f-591fd667dcda,trip completed order,2024-08-01 16:16:49.894 +0530 IST,-47.17,108.83,-156,108.83,0,108.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6c267932-6219-341c-93d6-e6676b82f2c5,100b888d-c025-49b3-814d-eb21f147c87c,31d425de-d5c0-47f9-910f-591fd667dcda,trip fare adjust order,2024-08-01 16:16:51.466 +0530 IST,-1.09,-1.09,0,0,0,0,0,0,-1.09,0,0,0,0,0,0,0,0,0,0,0
4dd0c649-7087-34b8-82ec-e7c39f5e7d55,100b888d-c025-49b3-814d-eb21f147c87c,ae599d9a-53ae-4ceb-a9fe-9d057c7e63c8,trip completed order,2024-08-01 16:45:44.601 +0530 IST,158.59,158.59,0,158.59,0,158.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abe93863-8c05-3b09-a96b-00cc6ed95aee,100b888d-c025-49b3-814d-eb21f147c87c,ae599d9a-53ae-4ceb-a9fe-9d057c7e63c8,trip fare adjust order,2024-08-01 16:45:46.486 +0530 IST,-1.59,-1.59,0,0,0,0,0,0,-1.59,0,0,0,0,0,0,0,0,0,0,0
c91f53f3-3d42-3afe-8514-ac69018b609b,100b888d-c025-49b3-814d-eb21f147c87c,bcb79755-2266-4145-8261-6ad63c78a73c,trip completed order,2024-08-01 17:13:43.916 +0530 IST,150.47,150.47,0,150.47,0,150.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31e4fb5f-e48a-3d27-861b-34ad75c77125,100b888d-c025-49b3-814d-eb21f147c87c,bcb79755-2266-4145-8261-6ad63c78a73c,trip fare adjust order,2024-08-01 17:13:45.81 +0530 IST,-1.5,-1.5,0,0,0,0,0,0,-1.5,0,0,0,0,0,0,0,0,0,0,0
0e94ac20-5a64-3403-9bd0-870788baba55,100b888d-c025-49b3-814d-eb21f147c87c,5c457a2f-0b11-4679-973f-018b9840b747,trip completed order,2024-08-01 17:57:31.121 +0530 IST,435.29,390.28,0,390.28,0,390.28,45.01,0,0,0,0,0,0,0,0,0,0,0,0,0
0f0b4e20-5d0b-388b-a884-25c3d7412102,100b888d-c025-49b3-814d-eb21f147c87c,5c457a2f-0b11-4679-973f-018b9840b747,trip fare adjust order,2024-08-01 17:57:33.073 +0530 IST,-4.35,-4.35,0,0,0,0,0,0,-4.35,0,0,0,0,0,0,0,0,0,0,0
