Trip UUID,Driver UUID,Vehicle UUID,Number plate,Service type,Trip request time,Trip drop-off time,Trip distance,Trip status
33dc176e-36bd-4920-81b1-27ffdcbf9487,100b888d-c025-49b3-814d-eb21f147c87c,8702d75f-7996-4e9d-98c9-3604d41d0c0d,MH46CL4291,personal_transport,07/08/24 23:13,07/08/24 23:22,1.53,completed
78269b0a-2e66-45f6-b1e5-ea2c024f5f03,100b888d-c025-49b3-814d-eb21f147c87c,8702d75f-7996-4e9d-98c9-3604d41d0c0d,MH46CL4291,personal_transport,07/08/24 22:35,07/08/24 23:05,6.74,completed
b4ef3116-3905-442e-bfdd-98c6863e1df5,ecd990ea-f209-4d3b-aa30-2774860ed903,a3efa7ff-d842-41d1-93f1-db3c2a7155d7,MH46CL5035,personal_transport,07/08/24 21:43,07/08/24 22:34,11.86,completed
a403e7e2-99bc-49fc-84b0-0795dcaa1fee,100b888d-c025-49b3-814d-eb21f147c87c,8702d75f-7996-4e9d-98c9-3604d41d0c0d,MH46CL4291,personal_transport,07/08/24 21:06,07/08/24 22:06,41.8,completed
9f598db0-21c0-4bd3-ac7e-eeaa697cee2f,100b888d-c025-49b3-814d-eb21f147c87c,8702d75f-7996-4e9d-98c9-3604d41d0c0d,MH46CL4291,personal_transport,07/08/24 20:49,07/08/24 21:09,4.37,completed
ac10de53-2b3c-48ad-b70b-e19730edff32,100b888d-c025-49b3-814d-eb21f147c87c,8702d75f-7996-4e9d-98c9-3604d41d0c0d,MH46CL4291,personal_transport,07/08/24 20:41,,0,rider_cancelled
21b67fde-0891-4b01-8b2e-b8ab4b04b20a,ecd990ea-f209-4d3b-aa30-2774860ed903,a3efa7ff-d842-41d1-93f1-db3c2a7155d7,MH46CL5035,personal_transport,07/08/24 20:31,07/08/24 21:14,3.13,completed
36174b77-408b-4c9b-beb1-0077d16c8128,100b888d-c025-49b3-814d-eb21f147c87c,8702d75f-7996-4e9d-98c9-3604d41d0c0d,MH46CL4291,personal_transport,07/08/24 19:35,07/08/24 20:42,24.47,completed
824974b9-b2ec-4f70-8dae-38430f63dccb,ecd990ea-f209-4d3b-aa30-2774860ed903,a3efa7ff-d842-41d1-93f1-db3c2a7155d7,MH46CL5035,personal_transport,07/08/24 19:01,07/08/24 20:27,29.26,completed
3cace81e-d435-45ee-94c1-5fba13a273cc,ecd990ea-f209-4d3b-aa30-2774860ed903,a3efa7ff-d842-41d1-93f1-db3c2a7155d7,MH46CL5035,personal_transport,07/08/24 18:27,,0,rider_cancelled
07e3afc6-4d54-4ab1-ab5a-41ba2aac97f5,47234e95-0d39-458e-bd76-616a05603baf,9ac79062-81bb-4e32-a526-bc096dd42f25,MH46CL5034,personal_transport,07/08/24 18:03,07/08/24 18:59,15.01,completed
7a1dce87-2cce-4268-ac53-ac60bb98f53e,100b888d-c025-49b3-814d-eb21f147c87c,8702d75f-7996-4e9d-98c9-3604d41d0c0d,MH46CL4291,personal_transport,07/08/24 17:35,07/08/24 19:40,36.11,completed
16d74f18-350a-4f0e-9d5d-94cddc418bfa,ecd990ea-f209-4d3b-aa30-2774860ed903,a3efa7ff-d842-41d1-93f1-db3c2a7155d7,MH46CL5035,personal_transport,07/08/24 17:08,07/08/24 18:31,21.67,completed
